Cast Vote Record,Precinct,Ballot Style,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2,Rep. to Congress 5th Choice District 2
1,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)","REP Poliquin, Bruce","REP Poliquin, Bruce",undervote,undervote
2,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3,Fayette,CAN Ballot Style 130,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
4,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)","DEM Golden, Jared F.","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S."
6,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
8,Fayette,CAN Ballot Style 130,"Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
10,Fayette,CAN Ballot Style 130,undervote,undervote,undervote,undervote,undervote
15,Fayette,CAN Ballot Style 130,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
17,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
19,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
20,Fayette,CAN Ballot Style 130,"Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce","DEM Golden, Jared F.",undervote
21,Fayette,CAN Ballot Style 130,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
22,Fayette,CAN Ballot Style 130,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
23,Fayette,CAN Ballot Style 130,"Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
26,Fayette,CAN Ballot Style 130,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
28,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
29,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
33,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
36,Fayette,CAN Ballot Style 130,"DEM Golden, Jared F. (5471)",overvote,"Hoar, William R.S.","REP Poliquin, Bruce",undervote
37,Fayette,CAN Ballot Style 130,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote